Core Name,Date,Time,User,Status
PDP1_MiSTer,2018-12-20,23:48:24,hrvach,Active
Arcade-1942_MiSTer,2019-02-25,16:46:51,sorgelig,Active
Arcade-1943_MiSTer,2019-04-30,06:24:37,jotego,Active
Life_MiSTer,2020-04-27,15:42:10,hrvach,Active
Galaksija_MiSTer,2020-05-01,19:22:15,hrvach,Active
Arcade-Rygar_MiSTer,2020-05-09,11:45:10,nullobject,Deprecated
TomyScramble_MiSTer,2020-07-17,08:34:58,pcornier,Active
EpochGalaxy2_MiSTer,2020-07-28,19:53:12,pcornier,Active
AliceMC10_MiSTer,2020-10-15,06:47:49,pcornier,Active
EDSAC_MiSTer,2020-12-08,16:22:16,sorgelig,Active
PMD85_MiSTer,2020-12-19,22:40:45,PetrM1,Active
Arcade-GnG_MiSTer,2021-01-17,18:52:46,alanswx,Active
Arcade-SkySkipper_MiSTer,2021-01-17,22:17:02,alanswx,Active
MemTest_MiSTer,2021-01-30,11:40:54,sorgelig,Active
Odyssey2_MiSTer,2021-02-02,00:05:42,Kitrinx,Active
Atari2600_MiSTer,2021-02-28,13:19:39,sorgelig,Deprecated
SharpMZ_MiSTer,2021-07-09,13:47:03,alanswx,Active
Interact_MiSTer,2021-08-16,01:36:21,edanuff,Active
VC4000_MiSTer,2021-09-14,21:25:26,Grabulosaure,Active
OndraSPO186_MiSTer,2021-10-18,14:39:34,PetrM1,Active
Arcadia_MiSTer,2021-10-26,19:21:11,Grabulosaure,Active
TatungEinstein_MiSTer,2022-01-19,21:48:33,alanswx,Active
FlappyBird_MiSTer,2022-02-26,04:23:22,birdybro,Active
Arduboy_MiSTer,2022-03-01,16:05:21,sorgelig,Active
Apple-I_MiSTer,2022-03-10,07:50:02,JasonA-dev,Active
AdventureVision_MiSTer,2022-03-19,19:13:37,Kitrinx,Active
GnW_MiSTer,2022-05-19,14:01:44,pcornier,Active
SuperVision_MiSTer,2022-06-11,14:29:13,Kitrinx,Active
Gamate_MiSTer,2022-06-14,02:06:16,Kitrinx,Active
CreatiVision_MiSTer,2022-08-06,14:45:24,Kitrinx,Active
PokemonMini_MiSTer,2022-09-04,11:41:33,Grieverheart,Active
EG2000_MiSTer,2022-09-23,08:24:24,JasonA-dev,Active
Chip8_MiSTer,2022-11-06,12:28:09,birdybro,Active
Homelab-MiSTer,2022-12-15,13:53:46,JasonA-dev,Active
ChannelF_MiSTer,2022-12-29,00:39:46,Grabulosaure,Active
Genesis_MiSTer,2023-02-24,15:51:27,sorgelig,Deprecated
AcornAtom_MiSTer,2023-02-24,22:34:35,alanswx,Active
AcornElectron_MiSTer,2023-02-24,22:41:17,alanswx,Active
Laser310_MiSTer,2023-02-24,22:52:58,alanswx,Active
ColecoAdam_MiSTer,2023-02-24,23:11:55,alanswx,Active
RX-78_MiSTer,2023-02-24,23:36:11,alanswx,Active
TRS-80_MiSTer,2023-02-24,23:37:58,alanswx,Active
Lynx48_MiSTer,2023-02-25,23:50:46,alanswx,Active
Jupiter_MiSTer,2023-03-01,17:08:25,sorgelig,Active
Intv_MiSTer,2023-03-10,23:38:00,MikeS11,Active
Super_Vision_8000_MiSTer,2023-04-10,14:29:16,Flandango,Active
MyVision_MiSTer,2023-04-10,14:34:07,Flandango,Active
N64_MiSTer,2024-04-03,06:00:49,webupload,Active
NES_MiSTer,2024-04-08,11:37:32,sorgelig,Active
MegaCD_MiSTer,2024-04-08,11:39:55,sorgelig,Active
Arcade-Atari-system1_MiSTer,2024-04-08,19:19:50,d18c7db,Active
GBA_MiSTer,2024-04-09,13:11:28,birdybro,Active
AtariLynx_MiSTer,2024-04-09,13:12:40,birdybro,Active
WonderSwan_MiSTer,2024-04-09,13:13:26,birdybro,Active
Chess_MiSTer,2024-04-09,13:14:15,birdybro,Active
Minimig-AGA_MiSTer,2024-04-09,15:07:58,sorgelig,Active
Arcade-TropicalAngel_MiSTer,2024-04-10,12:38:15,birdybro,Active
SMS_MiSTer,2024-04-18,11:23:54,sorgelig,Active
TurboGrafx16_MiSTer,2024-04-18,11:28:38,sorgelig,Active
S32X_MiSTer,2024-04-18,11:36:54,sorgelig,Active
C64_MiSTer,2024-04-18,11:39:05,sorgelig,Active
C16_MiSTer,2024-04-18,11:41:56,sorgelig,Active
VIC20_MiSTer,2024-04-18,11:50:22,sorgelig,Active
PET2001_MiSTer,2024-04-18,11:52:35,sorgelig,Active
Amstrad_MiSTer,2024-04-21,15:11:40,sorgelig,Active
SAM-Coupe_MiSTer,2024-04-21,15:11:58,sorgelig,Active
ZX-Spectrum_MISTer,2024-04-21,15:12:13,sorgelig,Active
ZX81_MiSTer,2024-04-21,15:12:29,sorgelig,Active
Arcade-IremM107_MiSTer,2024-04-22,18:06:21,wickerwaka,Active
AtariST_MiSTer,2024-04-23,15:03:39,sorgelig,Active
Atari7800_MiSTer,2024-04-23,15:05:50,sorgelig,Active
Apogee_MiSTer,2024-05-02,08:39:43,sorgelig,Active
Aquarius_MISTer,2024-05-02,08:46:46,sorgelig,Active
Archie_MiSTer,2024-05-02,08:47:10,sorgelig,Active
Astrocade_MiSTer,2024-05-02,08:47:30,sorgelig,Active
BBCMicro_MiSTer,2024-05-02,08:47:43,sorgelig,Active
BK0011M_MiSTer,2024-05-02,08:47:54,sorgelig,Active
ColecoVision_MiSTer,2024-05-02,08:48:33,sorgelig,Active
Gameboy_MiSTer,2024-05-02,08:48:41,sorgelig,Active
CoCo3_MiSTer,2024-05-15,03:00:16,shodge12,Active
MSX_MiSTer,2024-05-24,12:59:23,sorgelig,Active
Oric_MiSTer,2024-05-24,12:59:41,sorgelig,Active
QL_MiSTer,2024-05-24,13:00:19,sorgelig,Active
Specialist_MiSTer,2024-05-24,13:00:30,sorgelig,Active
Vector-06C_MiSTer,2024-05-24,13:00:41,sorgelig,Active
Vectrex_MiSTer,2024-05-24,13:00:49,sorgelig,Active
Arcade-Arkanoid_MISTer,2024-05-25,11:06:47,birdybro,Active
Arcade-Asteroids_MiSTer,2024-05-25,11:21:25,birdybro,Active
Arcade-AsteroidsDeluxe_MiSTer,2024-05-25,11:38:21,birdybro,Active
Arcade-ATetris_MiSTer,2024-05-25,11:50:05,birdybro,Active
Arcade-Athena_MiSTer,2024-05-25,12:27:14,birdybro,Active
Arcade-Bagman_MiSTer,2024-05-25,12:58:09,birdybro,Active
Arcade-MCR1_MiSTer,2024-05-25,13:32:25,birdybro,Active
Arcade-ZigZag_MiSTer,2024-05-25,13:37:31,alanswx,Active
Arcade-Zaxxon_MiSTer,2024-05-25,13:50:47,alanswx,Active
Arcade-MCR2_MiSTer,2024-05-25,13:54:18,birdybro,Active
Arcade-VBall_MiSTer,2024-05-25,14:08:07,alanswx,Active
