Core Name,Sys Date,Sys Time,User,Latest RBF Date,Release Newer Than SYS?,Status
PDP1_MiSTer,20/12/2018,23:48:24,hrvach,01/01/2019,Yes,Active
Arcade-1942_MiSTer,25/02/2019,16:46:51,sorgelig,08/01/2020,Yes,Active
Arcade-1943_MiSTer,30/04/2019,06:24:37,jotego,08/01/2020,Yes,Active
Life_MiSTer,27/04/2020,15:42:10,hrvach,30/04/2020,Yes,Active
Galaksija_MiSTer,01/05/2020,19:22:15,hrvach,06/05/2020,Yes,Active
Arcade-GnG_MiSTer,17/01/2021,18:52:46,alanswx,14/02/2021,Yes,Active
Arcade-SkySkipper_MiSTer,17/01/2021,22:17:02,alanswx,18/01/2021,Yes,Active
MemTest_MiSTer,30/01/2021,11:40:54,sorgelig,30/01/2021,Yes,Active
SharpMZ_MiSTer,09/07/2021,13:47:03,alanswx,09/07/2021,Yes,Active
Arcade-Atari-system1_MiSTer,08/04/2024,19:19:50,d18c7db,10/04/2024,Yes,Active
Chess_MiSTer,09/04/2024,13:14:15,birdybro,10/04/2024,Yes,Active
AtariLynx_MiSTer,09/04/2024,13:12:40,birdybro,10/04/2024,Yes,Active
WonderSwan_MiSTer,09/04/2024,13:13:26,birdybro,10/04/2024,Yes,Active
Arcade-TropicalAngel_MiSTer,10/04/2024,12:38:15,birdybro,10/04/2024,Yes,Active
SMS_MiSTer,18/04/2024,11:23:54,sorgelig,24/07/2025,Yes,Active
PET2001_MiSTer,18/04/2024,11:52:35,sorgelig,07/05/2025,Yes,Active
C16_MiSTer,18/04/2024,11:41:56,sorgelig,18/04/2024,Yes,Active
VIC20_MiSTer,18/04/2024,11:50:22,sorgelig,18/04/2024,Yes,Active
S32X_MiSTer,18/04/2024,11:36:54,sorgelig,18/04/2024,Yes,Active
ZX-Spectrum_MISTer,21/04/2024,15:12:13,sorgelig,21/04/2024,Yes,Active
SAM-Coupe_MiSTer,21/04/2024,15:11:58,sorgelig,21/04/2024,Yes,Active
ZX81_MiSTer,21/04/2024,15:12:29,sorgelig,21/04/2024,Yes,Active
Arcade-IremM107_MiSTer,22/04/2024,18:06:21,wickerwaka,19/05/2024,Yes,Active
AtariST_MiSTer,23/04/2024,15:03:39,sorgelig,23/04/2024,Yes,Active
Atari7800_MiSTer,23/04/2024,15:05:50,sorgelig,25/07/2024,Yes,Active
BK0011M_MiSTer,02/05/2024,08:47:54,sorgelig,02/05/2024,Yes,Active
Apogee_MiSTer,02/05/2024,08:39:43,sorgelig,02/05/2024,Yes,Active
Archie_MiSTer,02/05/2024,08:47:10,sorgelig,02/05/2024,Yes,Active
ColecoVision_MiSTer,02/05/2024,08:48:33,sorgelig,02/05/2024,Yes,Active
Aquarius_MISTer,02/05/2024,08:46:46,sorgelig,02/05/2024,Yes,Active
BBCMicro_MiSTer,02/05/2024,08:47:43,sorgelig,02/05/2024,Yes,Active
Astrocade_MiSTer,02/05/2024,08:47:30,sorgelig,02/05/2024,Yes,Active
CoCo3_MiSTer,15/05/2024,03:00:16,shodge12,15/05/2024,Yes,Active
Vector-06C_MiSTer,24/05/2024,13:00:41,sorgelig,24/05/2024,Yes,Active
Specialist_MiSTer,24/05/2024,13:00:30,sorgelig,24/05/2024,Yes,Active
MSX_MiSTer,24/05/2024,12:59:23,sorgelig,24/05/2024,Yes,Active
QL_MiSTer,24/05/2024,13:00:19,sorgelig,24/05/2024,Yes,Active
Vectrex_MiSTer,24/05/2024,13:00:49,sorgelig,24/05/2024,Yes,Active
Oric_MiSTer,24/05/2024,12:59:41,sorgelig,24/05/2024,Yes,Active
Arcade-Xevious_MiSTer,25/05/2024,15:24:04,alanswx,05/06/2024,Yes,Active
Arcade-Bagman_MiSTer,25/05/2024,12:58:09,birdybro,25/05/2024,Yes,Active
Arcade-BurgerTime_MiSTer,25/05/2024,23:28:00,birdybro,25/05/2024,Yes,Active
Arcade-ZigZag_MiSTer,25/05/2024,13:37:31,alanswx,25/05/2024,Yes,Active
Arcade-Arkanoid_MISTer,25/05/2024,11:06:47,birdybro,25/05/2024,Yes,Active
Arcade-TraverseUSA_MiSTer,25/05/2024,14:53:15,alanswx,25/05/2024,Yes,Active
Arcade-SuperBreakout_MiSTer,25/05/2024,19:57:27,alanswx,25/05/2024,Yes,Active
Arcade-AsteroidsDeluxe_MiSTer,25/05/2024,11:38:21,birdybro,25/05/2024,Yes,Active
Arcade-Asteroids_MiSTer,25/05/2024,11:21:25,birdybro,25/05/2024,Yes,Active
Arcade-ATetris_MiSTer,25/05/2024,11:50:05,birdybro,08/08/2025,Yes,Active
Arcade-MCR3Mono_MiSTer,25/05/2024,15:50:40,birdybro,25/05/2024,Yes,Active
Arcade-MCR2_MiSTer,25/05/2024,13:54:18,birdybro,25/05/2024,Yes,Active
Arcade-MCR3_MiSTer,25/05/2024,14:12:52,birdybro,25/05/2024,Yes,Active
Arcade-Ultratank_MiSTer,25/05/2024,15:24:17,alanswx,25/05/2024,Yes,Active
Arcade-MCR3Scroll_MiSTer,25/05/2024,15:53:29,birdybro,25/05/2024,Yes,Active
Arcade-MCR1_MiSTer,25/05/2024,13:32:25,birdybro,23/07/2025,Yes,Active
Arcade-BlackWidow_MiSTer,25/05/2024,21:25:58,birdybro,25/05/2024,Yes,Active
Arcade-Zaxxon_MiSTer,25/05/2024,13:50:47,alanswx,25/05/2024,Yes,Active
Arcade-Breakout_MiSTer,25/05/2024,23:06:01,birdybro,25/05/2024,Yes,Active
Arcade-VBall_MiSTer,25/05/2024,14:08:07,alanswx,24/07/2025,Yes,Active
Arcade-TurkeyShoot_MiSTer,25/05/2024,14:18:26,alanswx,25/05/2024,Yes,Active
Arcade-TNKIII_MiSTer,25/05/2024,19:29:00,birdybro,15/06/2024,Yes,Active
Arcade-Athena_MiSTer,25/05/2024,12:27:14,birdybro,25/05/2024,Yes,Active
