Core Name,Sys Date,Sys Time,User,Latest RBF Date,Release Newer Than SYS?,Status
PDP1_MiSTer,20/12/2018,23:48:24,hrvach,01/01/2019,Yes,Active
Life_MiSTer,27/04/2020,15:42:10,hrvach,30/04/2020,Yes,Active
SharpMZ_MiSTer,09/07/2021,13:47:03,alanswx,09/07/2021,Yes,Active
Arcade-Atari-system1_MiSTer,08/04/2024,19:19:50,d18c7db,22/11/2025,Yes,Active
Chess_MiSTer,09/04/2024,13:14:15,birdybro,10/04/2024,Yes,Active
Arcade-Asteroids_MiSTer,25/05/2024,11:21:25,birdybro,25/05/2024,Yes,Active
Arcade-AsteroidsDeluxe_MiSTer,25/05/2024,11:38:21,birdybro,25/05/2024,Yes,Active
Arcade-ATetris_MiSTer,25/05/2024,11:50:05,birdybro,08/08/2025,Yes,Active
Arcade-MCR1_MiSTer,25/05/2024,13:32:25,birdybro,23/07/2025,Yes,Active
Arcade-ZigZag_MiSTer,25/05/2024,13:37:31,alanswx,25/05/2024,Yes,Active
Arcade-Zaxxon_MiSTer,25/05/2024,13:50:47,alanswx,25/05/2024,Yes,Active
Arcade-XSleena_MiSTer,25/05/2024,14:38:58,birdybro,26/07/2025,Yes,Active
Arcade-TraverseUSA_MiSTer,25/05/2024,14:53:15,alanswx,13/01/2026,Yes,Active
Arcade-Ultratank_MiSTer,25/05/2024,15:24:17,alanswx,25/05/2024,Yes,Active
Arcade-MCR3Scroll_MiSTer,25/05/2024,15:53:29,birdybro,25/05/2024,Yes,Active
Arcade-BlackWidow_MiSTer,25/05/2024,21:25:58,birdybro,25/05/2024,Yes,Active
Arcade-Breakout_MiSTer,25/05/2024,23:06:01,birdybro,25/05/2024,Yes,Active
Arcade-Centipede_MiSTer,26/05/2024,02:24:12,birdybro,23/07/2025,Yes,Active
Arcade-Galivan_MiSTer,26/05/2024,12:42:46,birdybro,26/05/2024,Yes,Active
Arcade-CrystalCastles_MiSTer,26/05/2024,15:22:09,birdybro,26/05/2024,Yes,Active
Arcade-FoodFight_MiSTer,26/05/2024,21:15:02,birdybro,26/05/2024,Yes,Active
Arcade-Frenzy_MiSTer,27/05/2024,00:58:52,birdybro,27/05/2024,Yes,Active
Arcade-Gaplus_MiSTer,27/05/2024,01:56:39,birdybro,23/07/2025,Yes,Active
Arcade-IkariWarriors_MiSTer,27/05/2024,03:26:41,birdybro,12/01/2026,Yes,Active
Arcade-Sonson_MiSTer,27/05/2024,14:28:58,alanswx,27/05/2024,Yes,Active
Arcade-IronHorse_MiSTer,27/05/2024,19:02:58,birdybro,27/05/2024,Yes,Active
Arcade-KickAndRun_MiSTer,27/05/2024,20:30:01,birdybro,30/07/2024,Yes,Active
Arcade-SpaceRace_MiSTer,28/05/2024,08:51:29,alanswx,28/05/2024,Yes,Active
UK101_MiSTer,28/05/2024,22:06:21,danielb0,28/05/2024,Yes,Active
Arcade-LunarLander_MiSTer,29/05/2024,12:36:18,birdybro,29/05/2024,Yes,Active
Arcade-MarioBros_MiSTer,30/05/2024,21:55:56,birdybro,05/08/2024,Yes,Active
Arcade-MrDo_MiSTer,31/05/2024,00:09:49,birdybro,25/07/2025,Yes,Active
Arcade-PenguinKunWars_MiSTer,31/05/2024,12:01:44,birdybro,23/07/2025,Yes,Active
Arcade-Performan_MiSTer,31/05/2024,12:24:36,birdybro,12/01/2026,Yes,Active
Arcade-Pleiads_MiSTer,01/06/2024,20:44:00,birdybro,30/11/2025,Yes,Active
Arcade-PolyPlay_MiSTer,01/06/2024,22:22:33,birdybro,25/07/2025,Yes,Active
Arcade-Popeye_MiSTer,01/06/2024,23:21:14,birdybro,02/06/2024,Yes,Active
Arcade-Robotron_MiSTer,02/06/2024,21:27:06,birdybro,26/02/2026,Yes,Active
Arcade-RushnAttack_MiSTer,02/06/2024,23:07:10,birdybro,23/07/2025,Yes,Active
Arcade-SegaVICZ80_MiSTer,03/06/2024,01:10:44,birdybro,12/01/2026,Yes,Active
Arcade-SEGASYS1_MiSTer,03/06/2024,04:28:39,birdybro,23/07/2025,Yes,Active
Arcade-SuprLoco_MiSTer,15/06/2024,15:10:08,ika-musume,28/09/2025,Yes,Active
